"(0.2316, -0.4949, 0.434, -0.3417, -0.3643)",[ 3.0902 -1.8021  0.25  ]
"(-0.0269, -0.0465, -0.3245, -0.1013, 0.4127)",[3.5861 0.5557 0.25  ]
"(-0.3488, -0.2341, -0.4147, -0.1961, -0.0836)",[ 2.8558 -1.7864  0.25  ]
"(0.3185, 0.0528, -0.0169, 0.2538, -0.4274)",[ 3.5188 -0.8451  0.25  ]
"(-0.2632, -0.4021, 0.5069, -0.0022, 0.4377)",[3.4276 1.1592 0.25  ]
"(0.2843, 0.2723, -0.4374, 0.1035, -0.4678)",[ 3.3585 -1.3584  0.25  ]
"(-0.4669, -0.4949, -0.1454, -0.1426, -0.2146)",[ 2.5546 -2.1995  0.25  ]
"(0.327, 0.4787, -0.4391, -0.1759, -0.2722)",[ 3.5836 -0.5053  0.25  ]
"(0.3566, -0.4653, -0.3847, 0.2726, 0.2443)",[ 3.4856 -0.6511  0.25  ]
"(-0.3489, 0.2056, 0.2463, 0.3883, -0.1846)",[3.4775 0.7077 0.25  ]
"(-0.3846, 0.2862, 0.0754, -0.1139, -0.0839)",[3.6433 0.2354 0.25  ]
"(-0.2546, -0.2235, -0.1844, 0.1265, -0.3637)",[ 2.9752 -1.9854  0.25  ]
"(-0.114, 0.2346, -0.3989, 0.2612, 0.4949)",[3.2482 1.6124 0.25  ]
"(-0.1249, -0.0218, 0.0379, -0.4427, -0.3717)",[ 3.1514 -1.6656  0.25  ]
"(0.3171, 0.2711, -0.3779, -0.0683, 0.3508)",[3.4388 1.1661 0.25  ]
"(0.0932, 0.3217, 0.2723, 0.3287, -0.4888)",[3.4804 0.1434 0.25  ]
"(-0.2378, 0.179, -0.1013, 0.2178, -0.1008)",[3.6846 0.0762 0.25  ]
"(0.0151, -0.4877, 0.3537, 0.1286, -0.2785)",[ 3.3639 -1.3182  0.25  ]
"(-0.0004, 0.4312, -0.299, 0.4617, -0.3393)",[ 3.6104 -0.073   0.25  ]
"(-0.2679, -0.2279, -0.4291, 0.1182, -0.4273)",[ 2.4586 -2.4082  0.25  ]
"(0.3034, -0.1189, 0.4802, -0.1919, -0.2685)",[ 3.605  -0.3821  0.25  ]
"(-0.0456, -0.0733, 0.0761, -0.2316, -0.483)",[ 3.1493 -1.7985  0.25  ]
"(-0.2425, 0.0557, -0.014, 0.155, -0.1945)",[ 3.6576 -0.4862  0.25  ]
"(-0.4347, 0.1838, 0.3418, 0.2886, 0.0943)",[3.2567 1.3916 0.25  ]
"(0.3196, 0.053, -0.0189, 0.25, -0.1969)",[ 3.6276 -0.1572  0.25  ]
"(-0.2024, -0.0577, -0.3985, -0.2472, 0.3427)",[ 3.5104 -0.1375  0.25  ]
"(0.066, -0.2832, 0.2461, 0.2767, 0.2067)",[3.5598 0.701  0.25  ]
"(0.1673, 0.0922, 0.2324, 0.2729, 0.1521)",[3.2239 1.4571 0.25  ]
"(-0.4168, 0.4616, 0.4604, 0.2585, 0.4822)",[1.6693 2.7567 0.25  ]
"(-0.3801, 0.2877, 0.0782, 0.0961, -0.0826)",[3.6132 0.5249 0.25  ]
"(-0.1637, 0.2707, -0.4263, -0.4793, -0.2282)",[ 3.1788 -1.3094  0.25  ]
"(0.4546, -0.1838, -0.113, -0.3599, 0.0946)",[ 3.5754 -0.5289  0.25  ]
"(0.4454, -0.0598, -0.219, -0.3672, -0.5104)",[ 2.7923 -2.1484  0.25  ]
"(0.3432, -0.4774, -0.3969, -0.1773, -0.267)",[ 2.3865 -2.3602  0.25  ]
"(-0.1206, 0.2377, -0.1317, 0.0785, -0.103)",[3.69  0.055 0.25 ]
"(0.0036, -0.4631, -0.1326, 0.0879, 0.2964)",[ 3.6021 -0.3735  0.25  ]
"(0.3256, -0.1908, 0.3602, -0.177, -0.2726)",[ 3.5863 -0.6528  0.25  ]
"(-0.2022, 0.4446, 0.3934, -0.4192, -0.1249)",[3.484  0.7585 0.25  ]
"(-0.3186, 0.0895, -0.5092, -0.2802, 0.2498)",[ 3.4462 -0.2802  0.25  ]
"(0.0866, -0.2774, 0.3634, -0.3951, -0.1075)",[ 3.5727 -0.7455  0.25  ]
"(0.3566, -0.2345, -0.4128, -0.1949, -0.0839)",[ 3.1351 -1.5603  0.25  ]
"(0.3029, 0.1658, 0.1569, 0.2094, -0.325)",[3.5673 0.1184 0.25  ]
"(-0.3079, 0.2576, 0.0771, 0.006, -0.4821)",[ 3.5424 -0.9045  0.25  ]
"(-0.3937, -0.4693, 0.4614, -0.096, 0.3588)",[3.5782 0.5706 0.25  ]
"(-0.0253, 0.1032, -0.3075, -0.0898, 0.2037)",[3.6473 0.196  0.25  ]
"(-0.0264, 0.2567, -0.4521, 0.0904, -0.4834)",[ 3.2887 -1.5188  0.25  ]
"(0.0464, -0.4108, 0.1675, -0.1704, 0.0185)",[ 3.5322 -0.8939  0.25  ]
"(0.2762, -0.0225, 0.0367, -0.4393, -0.372)",[ 3.2804 -1.5146  0.25  ]
"(-0.4607, 0.4396, -0.0206, 0.3798, -0.1108)",[3.4702 0.8885 0.25  ]
"(0.2456, 0.2509, 0.0699, 0.3378, -0.4684)",[ 3.5463 -0.3199  0.25  ]
"(-0.1249, 0.1229, -0.3184, -0.1009, -0.4065)",[ 3.1121 -1.7673  0.25  ]
"(-0.1194, 0.0848, -0.3251, -0.1044, -0.4151)",[ 3.0941 -1.7987  0.25  ]
"(-0.1085, 0.2204, -0.49, 0.2501, 0.4809)",[3.3316 1.4249 0.25  ]
"(-0.2454, 0.0832, -0.3227, 0.2629, 0.144)",[3.6613 0.3211 0.25  ]
"(-0.4414, 0.2294, -0.501, -0.0316, 0.2596)",[3.5412 0.2435 0.25  ]
"(-0.1613, 0.2723, -0.4258, -0.4731, -0.3686)",[ 2.9819 -1.6685  0.25  ]
"(0.3989, -0.3864, 0.0741, 0.0951, 0.3432)",[3.59   0.5513 0.25  ]
"(0.3036, -0.2932, -0.232, -0.0793, 0.3459)",[3.6263 0.0793 0.25  ]
"(0.0158, -0.1222, 0.4777, -0.1928, -0.2721)",[ 3.6127 -0.5251  0.25  ]
"(-0.3454, -0.2195, -0.4008, -0.183, 0.3706)",[ 3.3944 -0.5297  0.25  ]
"(0.2758, -0.1856, -0.4067, 0.0406, -0.3751)",[ 2.8272 -2.1038  0.25  ]
"(0.1608, -0.4938, 0.4069, -0.1418, -0.2144)",[ 3.3924 -1.2668  0.25  ]
